LABEL,Date,Source,Title,Headline,Sentiment_Label
Immigration,2025-01-20,The Verge,Donald Trump is officially president again,President Donald Trump sworn into office ushering policies that will have profound effects tech industry including through tariffs immigration,Positive
Immigration,2025-02-08,BBC News,Who s who in German elections and why this vote is important,German voters polls February pivotal vote focused immigration economy,Positive
Immigration,2025-01-31,BBC News,German party could rely on far right again for immigration vote,leader Friedrich Merz need support Bundestag from move that attracted wide condemnation,Negative
Immigration,2025-01-23,Wired,The Global Far Right Is Celebrating Trump s New World Order,right lawmakers extremist influencers world over celebrating Trump early days office advocating similar efforts their countries,Positive
Immigration,2025-02-08,NPR,Trump supporters welcome the first steps in his immigration crackdown,President Trump kicked second term with dramatic crackdown immigration Critics call those moves cruel unnecessary many Trump supporters applauding these early steps,Negative
Immigration,2025-02-09,Business Insider,New Zealand relaxes golden visa rules in bid to attract wealthy investors amid struggling economy,investor visa become simpler more flexible Zealand Immigration Minister Erica Stanford said,Positive
Immigration,2025-01-20,NPR,All of the Day executive actions Trump has announced so far,Trump expected sign slew actions relating immigration other issues,Negative
Immigration,2025-02-05,NPR,Mass deportations will depend on local police Only some are offering to help,Trump border czar Homan urging more local enforcement agencies support immigration efforts,Positive
Immigration,2025-01-21,BBC News,Trump criticises sermon after bishop asks for mercy,Right Mariann Edgar Budde asked President Trump mercy said people across country scared,Positive
Immigration,2025-01-17,NPR,Trump s cabinet pick for Homeland Security is Kristi Noem Here s what to know,confirmed Noem would lead department poised center Trump immigration policy priorities including deportation efforts visa changes border security,Positive
Immigration,2025-01-28,NPR,All the executive orders Trump has signed after week in office,President Trump signed slew orders during first week office impacting policy immigration environment federal diversity programs more,Positive
Immigration,2025-01-25,NPR,Senate confirms Kristi Noem as Trump s Secretary of Homeland Security,Noem will charge executing President Trump biggest priorities second term cracking down immigration,Negative
Immigration,2025-02-03,Business Insider,From JPMorgan to BlackRock The financial firms that file the most H B immigrant work visas,President Trump immigration crackdown raising questions about visa programs skilled workers which financial firms file most,Positive
Immigration,2025-02-04,Business Insider,Trump got what he wanted with the Canada and Mexico tariff pauses even if he didn t get that much,Trump slapped tariffs Canadian Mexican imports pressure them crack down illegal immigration fentanyl They caved,Negative
Immigration,2025-01-26,NPR,DeSantis faces pushback by fellow Republicans on his call for an immigration session,Republican leaders state legislature they support President Trump pledge combat illegal immigration want deal with other issues identified DeSantis their schedule,Negative
Immigration,2025-02-05,NPR,Homeland Security s workforce might not be as big as Trump s immigration goals,Changes hiring retention practices grew department people four years former officials warn that still enough Trump ambitious policy goals,Positive
Immigration,2025-02-04,NPR,The prospect of immigration agents entering schools is sending shockwaves among communities,President Trump decades policy that prevented agents from arresting migrants without legal status sensitive places such schools Most districts drawing line sand,Positive
Immigration,2025-01-24,NPR,Trump officials empower DHS to expel migrants allowed under Biden programs,Immigration officials would have authority quickly expel migrants temporarily admitted separate program certain people fleeing Cuba Haiti Nicaragua Venezuela,Positive
Immigration,2025-02-01,NPR,Prices were a key issue in but Trump makes clear they re not his top priority,While prices economy were issues during campaign President Trump making clear that other issues most notably immigration main focus start second term,Positive
Immigration,2025-01-20,BBC News,Trump to declare national emergency at US Mexico border in flurry of day one orders,incoming president plans sign many executive orders administration begins,Positive
Immigration,2025-02-07,BBC News,Johnson UK s most damaging PM says Reform UK chief,Yusuf tells Political Thinking podcast Johnson would welcome join Reform,Positive
Immigration,2025-01-16,NPR,Trump s challenge where to house millions of immigrant detainees,biggest hurdles carrying Trump mass deportation plans where house millions people country without legal status many prisons detention centers already overcrowded what options there,Positive
Immigration,2025-02-05,BBC News,I d make it harder to get British citizenship says Badenoch,Conservative leader says people shouldn able apply citizenship least years,Positive
Immigration,2025-02-07,Kansas City Star,ICE raids Liberty restaurant and detains at least workers Clay County sheriff confirms,Sheriff Will Akin Kansas City immigration attorney told Star that Homeland Security Investigations agents took least people into custody,Negative
Immigration,2025-01-29,NPR,Trump signs first bill of his second presidency the Laken Riley Act into law,bill named Georgia nursing student killed last year Venezuelan without legal status criminal record,Negative
Immigration,2025-01-21,NPR,Democratic AGs sue over Trump s order to end birthright citizenship,group state attorneys general signed lawsuit filed Tuesday seeking block administration move describing unconstitutional,Positive
Immigration,2025-01-28,ABC News,DHS Secretary Kristi Noem joins immigration enforcement operations in NYC,Kristi Noem joined operations just days after confirmed Senate lead Department Homeland Security,Positive
Immigration,2025-01-23,ABC News,As Trump throws immigration into uncertainty parents grapple potential statelessness,Five undocumented pregnant women President Donald Trump over birthright citizenship executive order,Positive
Immigration,2025-01-20,ABC News,What to know about Trump s immigration and border executive actions,Trump promises sign executive actions address immigration border security Some will likely spark legal battles,Positive
Immigration,2025-01-20,NPR,Trump reinforces use of his Remain in Mexico policy,policy which created implemented during first Trump administration resulted tens thousands migrants waiting extended periods Mexico,Positive
Immigration,2025-01-24,ABC News,What did we learn from Trump s first week,President Donald Trump first week office focused immigration over economy continued play base,Negative
Immigration,2025-01-23,Business Insider,Amazon resumes new US green card applications for foreign workers leaked memo shows,Amazon planned resume green card applications foreign workers January leaked memo shows,Negative
